Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2016,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,28264,0,11.592,152.52,0,0,0,0,28429,28429,28429,GHD Limited (formerly CRA)
2016,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,23262,0,9.6852,134.416,0,0,0,0,23407,23407,23407,Stantec Consulting Ltd.
2016,1186,ArcelorMittal Long Products Canada G.P.,ArcelorMittal Hamilton East,Hamilton,331222,23601,0,9.765,128.34,0,0,0,0,23740,23740,23740,GHD Limited (formerly CRA)
2016,1187,Hamilton Health Sciences Corporation,Juravinski Hospital and Cancer Center Cogeneration Plant,Hamilton,622111,21197,0,8.82,120.9,0,0,0,0,21327,21327,21327,GHD Limited (formerly CRA)
2016,1188,Hamilton Health Sciences Corporation,Hamilton General Hospital Cogeneration Plant,Hamilton,622111,16613,0,6.93,96.1,0,0,0,0,16717,16717,16717,GHD Limited (formerly CRA)
2016,1240,BIOX Canada Limited,BIOX Canada Limited,Hamilton,325190,12946,0,5.355,70.37,0,0,0,0,13022,13022,13022,GHD Limited (formerly CRA)
2016,1254,"St. Joseph's Healthcare Hamilton, A Division of St. Joseph's Health System",St. Joseph's Healthcare Hamilton,Hamilton,622111,9605.4443,0,3.9742,55.4482,0,0,0,0,9665,9665,9665,GHD Limited (formerly CRA)
2016,1259,"Dofasco Inc., Stelco Inc.",Baycoat,Hamilton,332810,24094.1,0,9.975,131.13,0,0,0,0,24236,24236,24236,GHD Limited (formerly CRA)
2016,1271,Air Liquide Canada Inc.,Air Liquide Canada - Hamilton (ASU and H2),Hamilton,325120,11717,0,2.1,27.9,0,226.2,0,0,11974,11974,11974,Enviro-Access Inc.
2017,1005,ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,Hamilton,331110,4872455.553,0,15728.9979,3406.962,2490.38,0,0,0,4894082,4894082,4878612,
2017,1016,Bunge Canada,Bunge Canada Holdings I ULC,Hamilton,311224,49361.49,0,20.4225,268.708,0,0,0,0,49651,49651,49651,Internat Energy Solutions
2017,1030,Columbian Chemicals Canada Ltd.,Hamilton (Birla Carbon),Hamilton,325189,234706.5463,0,2.3835,31.372,0,0,0,0,234741,234741,234741,Internat Energy Solutions Canada
2017,1148,Stelco Inc.,Hamilton,Hamilton,331110,225316.57,8873.6245,12002.3715,664.733,0,0,0,0,246858,237984,226058,RWDI AIR Inc.
2017,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,18718,7.1988,10.6268,0,0,0,0,18736,18,18,
2017,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,28544.7,0,11.676,153.76,0,0,0,0,28711,28711,28711,GHD Limited
2017,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,22941,0,16.863,137.02,0,0,0,0,23095,23095,23095,Stantec
2017,1186,ArcelorMittal Long Products Canada G.P.,ArcelorMittal Long Products Canada G.P.,Hamilton,331222,23304,0,9.639,126.79,0,0,0,0,23441,23441,23441,GHD
2017,1187,Hamilton Health Sciences Corporation,Juravinski Hospital and Cancer Center Cogeneration Plant,Hamilton,622111,19528,0,7.98,111.6,0,0,0,0,19648,19648,19648,GHD Limited
2017,1188,Hamilton Health Sciences Corporation,Hamilton General Hospital Cogeneration Plant,Hamilton,622111,16127,0,6.72,93,0,0,0,0,16227,16227,16227,GHD Limited
2017,1240,BIOX Canada Limited,BIOX Canada Limited,Hamilton,325190,12707.5,0,5.2578,69.1765,0,0,0,0,12782,12782,12782,GHD Limited
2017,1254,"St. Joseph's Healthcare Hamilton, A Division of St. Joseph's Health System",St. Joseph's Healthcare Hamilton,Hamilton,622111,9900.606,0,4.0963,57.1522,0,0,0,0,9962,9962,9962,GHD
2017,1259,"Dofasco Inc., Stelco Inc.",Baycoat,Hamilton,332810,25578.8,0,10.584,139.19,0,0,0,0,25729,25729,25729,
2017,1265,Hamilton Utilities Corp.,energy centre,Hamilton,221112,10339.8,0,56.637,83.7,0,0,0,0,10481,10481,10481,
2017,1271,Air Liquide Canada Inc.,Air Liquide Canada - Hamilton (ASU and H2),Hamilton,325120,11713,0,2.1567,28.396,0,0,0,0,11744,11744,11744,
2017,1412,Max Aicher (North America) Limited,Max Aicher (North America) Limited,Hamilton,331110,12719,0,5.271,69.13,0,0,0,0,12794,12794,12794,
2018,1005,ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,Hamilton,331110,4741228.966,0,15734.4642,3449.06,0,0,0,0,4760413,4760413,4744937,PricewaterhouseCoopers LLP
2018,1016,Bunge Canada,Bunge Canada Holdings I ULC,Hamilton,311224,51540.9,0,21.315,280.55,0,0,0,0,51843,51843,51843,Internat Energy Solutions Canada
2018,1030,Birla Carbon Canada Ltd.,Birla Carbon Canada Ltd.,Hamilton,325189,222164.6479,0,1.512,19.902,0,0,0,0,222187,222187,222187,Internat Energy Solutions Canada
2018,1148,Stelco Inc.,Hamilton,Hamilton,331110,248284.67,3343.8064,15540.8295,666.531,0,0,0,0,267836,264493,249025,RWDI Air Inc.
2018,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,19469,7.4886,11.0546,0,0,0,0,19488,19,19,
2018,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,28941.6,0,11.844,155.62,0,0,0,0,29110,29110,29110,GHD Ltd
2018,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,37458,0,153.3462,280.116,0,0,0,0,37892,37892,37892,Stantec
2018,1186,ArcelorMittal long Products Canada,ArcelorMittal long Products Canada - Hamilton East,Hamilton,331222,24372,0,10.08,132.68,0,0,0,0,24515,24515,24515,
2018,1187,Hamilton Health Sciences Corporation,Juravinski Hospital and Cancer Center Cogeneration Plant,Hamilton,622111,23170,0,126.84,186,0,0,0,0,23483,23483,23483,
2018,1188,Hamilton Health Sciences Corporation,Hamilton General Hospital Cogeneration Plant,Hamilton,622111,14818,0,81.06,120.9,0,0,0,0,15020,15020,15020,
2018,1240,BIOX Canada Limited,BIOX Canada Limited,Hamilton,325190,12505.2,0,5.166,68.2,0,0,0,0,12579,12579,12579,
2018,1254,"St. Joseph's Healthcare Hamilton, A Division of St. Joseph's Health System",St. Joseph's Healthcare Hamilton,Hamilton,622111,9564.0256,0,3.9564,55.211,0,0,0,0,9624,9624,9624,
2018,1259,"Dofasco Inc., Stelco Inc.",Baycoat,Hamilton,332810,26680,0,11.046,145.39,0,0,0,0,26837,26837,26837,
2018,1265,Hamilton Utilities Corp.,energy centre,Hamilton,221112,7438.54,0,40.7505,60.14,0,0,0,0,7540,7540,7540,
2018,1271,Air Liquide Canada Inc.,Air Liquide Canada - Hamilton (ASU and H2),Hamilton,325120,12080,0,2.163,30.38,0,0,0,0,12113,12113,12113,
2018,1411,NATT Tools Group Inc.,NATT Tools Group Inc.,Hamilton,331221,10253.52,0,4.242,55.831,0,0,0,0,10314,10314,10314,
2018,1412,Max Aicher (North America) Limited,Max Aicher (North America) Limited,Hamilton,331110,16184.3,0,6.699,88.04,0,0,0,0,16280,16280,16280,
2011,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,36213,0,14.91,207.7,0,0,0,,36436,36436,36436,Conestoga-Rovers & Associates Limited (CRA)
2012,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,34711,0,14.28,198.4,0,0,0,,34924,34924,34924,Conestoga-Rovers & Associates Limited (CRA)
2013,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,36876,0,15.12,210.8,0,0,0,,37102,37102,37102,Conestoga-Rovers & Associates Limited (CRA)
2014,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,33112,0,13.65,192.2,0,0,0,,33318,33318,33318,Conestoga-Rovers & Associates Limited (CRA)
2015,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,37065,0,15.33,213.9,0,0,0,0,37295,37295,37295,GHD Limited (formerly CRA)
2016,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,32168,0,13.23,186,0,0,0,0,32368,32368,32368,GHD Limited (formerly CRA)
2017,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,32280,0,13.44,186,0,0,0,0,32480,32480,32480,RWDI Air Inc
2018,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,31720,0,173.67,257.3,0,0,0,0,32151,32151,32151,RWDI
2014,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,26112.25,0,10.8039,142.1499,0,0,0,,26266,26266,26266,Conestoga-Rovers & Associates Limited (CRA)
2015,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,26376,0,10.9137,143.592,0,0,0,0,26531,26531,26531,GHD Limited (formerly CRA)
2016,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,34982,0,14.4732,190.433,0,0,0,0,35187,35187,35187,GHD Limited (formerly CRA)
2017,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,41215.819,0,17.052,224.44,0,0,0,0,41458,41458,41458,GHD Limited
2018,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,40356.21,0,16.695,219.79,0,0,0,0,40593,40593,40593,GHD Limited
2015,1230,IKO Industries Ltd.,IKO Hawkesbury,Hawkesbury,324122,11058,0,4.2,62,0,0,0,0,11125,11125,11125,RWDI AIR Inc.
2016,1230,IKO Industries Ltd.,IKO Hawkesbury,Hawkesbury,324122,10390.85,0,4.347,56.42,0,0,0,0,10452,10452,10452,RWDI AIR Inc.
2017,1230,IKO Industries Ltd.,IKO Hawkesbury,Hawkesbury,324122,12111.94,0,4.962,65.41,0,0,0,0,12183,12183,12183,
2018,1230,IKO Industries Ltd.,IKO Hawkesbury,Hawkesbury,324122,11879.2242,0,4.8411,64.2847,0,0,0,0,11949,11949,11949,
2015,1250,Columbia Forest Products Ltd.,Levesque Plywood - Levesque Division,Hearst,321211,12620,0,5.229,68.82,0,0,0,0,12695,12695,12695,Internat Energy Solutions Canada Inc.
2016,1250,Columbia Forest Products Ltd.,Levesque Plywood - Levesque Division,Hearst,321211,13305,0,5.502,72.54,0,0,0,0,13384,13384,13384,Internat Energy Solutions Canada Inc.
2016,1374,Atlantic Power LP,Calstock Power Plant,Hearst,221119,17099.02,216449.47,1549.8,3003.9,0,0,0,0,238103,21653,21653,
2017,1250,Levesque Plywood Limited,Columbia Forest Products,Hearst,321211,14095,0,5.838,76.88,0,0,0,0,14178,14178,14178,Internat Energy Solutions Canada
2017,1374,Atlantic Power LP,Calstock Power Plant,Hearst,221119,18864.1,214242.03,1543.5,2988.4,0,0,0,0,237639,23396,23396,
2018,1250,Columbia Forest Prodcuts Ltd.,Levesque Plywood Ltd.,Hearst,321211,15538,0,6.426,84.63,0,0,0,0,15630,15630,15630,
2018,1374,Atlantic Power LP,Calstock Power Plant,Hearst,221119,18821.49,206242.94,1489.803,2881.45,0,0,0,0,229436,23193,23193,
2015,1234,Kimberly-Clark Inc.,"Kimberly Clark, Huntsville Mill",Huntsville,322121,16947.91,0,7.014,92.38,0,0,0,0,17048,17048,17048,GHD Limited (formerly CRA)
2015,1245,Panolam Industries Ltd.,Panolam Industries Ltd.,Huntsville,321216,17591.3,31476.5,218.925,512.43,0,0,0,0,49800,18323,18323,Internat Energy Solutions Canada Inc.
2016,1234,Kimberly-Clark Inc.,"Kimberly Clark, Huntsville Mill",Huntsville,322121,16821.29,0,6.93,93,0,0,0,0,16922,16922,16922,GHD Limited (formerly CRA)
2016,1245,Panolam Industries Ltd.,Panolam Industries Ltd.,Huntsville,321216,19874,36813,256.032,604.19,0,0,0,0,57548,20735,20735,Internat Energy Solutions Canada Inc.
2017,1234,Kimberly-Clark Inc.,"Kimberly Clark, Huntsville Mill",Huntsville,322121,17146.6588,0,7.0917,93.3286,0,0,0,0,17248,17248,17248,GHD
2017,1245,Panolam Industries Ltd.,Panolam Industries Ltd.,Huntsville,321216,16714,34814,240.975,551.8,0,0,0,0,52321,17507,17507,Internat Energy Solutions Canada
2018,1234,Kimberly-Clark Inc.,"Kimberly Clark, Huntsville Mill",Huntsville,322121,15196.9754,0,6.2855,82.7204,0,0,0,0,15286,15286,15286,
2018,1245,Panolam Industries Ltd.,Panolam Industries Ltd.,Huntsville,321216,19493,39288,272.223,625.89,0,0,0,0,59680,20392,20392,
2010,1020,Carmeuse Lime (Canada) Limited,Beachville Operation,Ingersoll,327410,469891,0,285,419,0,0,0,,470596,470596,,
2010,1052,General Motors of Canada Limited,CAMI AUTOMOTIVE INC,Ingersoll,336110,37114,0,15,202,0,0,0,,37332,37332,,
2011,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,493113,0,241.773,14.88,0,0,0,,493370,493370,493370,Stantec Consulting Ltd.
2011,1052,General Motors of Canada Limited,CAMI Assembly Plant,Ingersoll,336110,40921.53,0,16.926,222.89,0,0,0,,41162,41162,41162,Conestoga-Rovers & Associates Limited (CRA)
2012,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,470557.6286,0,211.1592,592.317,0,0,0,,471362,471362,471362,Stantec Consulting Ltd.
2012,1052,General Motors of Canada Limited,CAMI Assembly Plant,Ingersoll,336110,38673.396,0,16.002,210.49,0,0,0,,38900,38900,38900,Conestoga-Rovers & Associates Limited (CRA)
2013,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,369053.77,0,196.455,1407.4,0,0,0,,370658,370658,370658,Stantec Consulting Ltd.
2013,1052,General Motors of Canada Limited,CAMI Assembly Plant,Ingersoll,336110,42450.827,0,17.556,230.95,0,0,0,,42700,42700,42700,Conestoga-Rovers & Associates Limited (CRA)
2014,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,440764.51,0,267.918,1859.69,0,0,0,,442893,442893,442893,Stantec Consulting Ltd.
2014,1052,General Motors of Canada Limited,CAMI Assembly Plant,Ingersoll,336110,41534.841,0,17.178,225.99,0,0,0,,41779,41779,41779,Conestoga-Rovers & Associates Limited (CRA)
2015,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,321922.908,0,691.2604,1939.2949,0,0,0,0,324554,324554,324554,Stantec Consulting Ltd.
2015,1052,General Motors of Canada Company,CAMI Assembly Plant,Ingersoll,336110,45385.231,0,18.774,247.07,0,0,0,0,45652,45652,45652,GHD Limited (formerly CRA)
2016,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,368963.748,0,409.1197,567.3744,0,0,0,0,369941,369941,369576,Stantec Consulting Ltd.
2016,1052,General Motors of Canada Company,CAMI Assembly Plant,Ingersoll,336110,40505.349,0,16.758,220.41,0,0,0,0,40743,40743,40743,GHD Limited (formerly CRA)
2017,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,421657.1,0,585.3868,597.029,0,0,0,0,422840,422840,422303,GHD Consulting
2017,1052,General Motors of Canada Company,CAMI Assembly Plant,Ingersoll,336110,40202.167,0,16.632,218.86,0,0,0,0,40438,40438,40438,Stantec
2018,1052,General Motors of Canada Company,CAMI Assembly Plant,Ingersoll,336110,38117.697,0,15.771,207.39,0,0,0,0,38341,38341,38341,Stantec
2018,1020,Carmeuse Lime Canada Limited,Beachville Operation,Ingersoll,327410,433692.164,43,702.709,585.7369,0,0,0,0,435024,434981,434327,GHD
2016,1387,Kraft Heinz Canada ULC,Ingleside Plant,Ingleside,311515,19960.433,0,8.043,113.46,0,0,0,0,20082,20082,20082,GHD Limited (formerly CRA)
2017,1387,Kraft Heinz Canada ULC,Ingleside Plant,Ingleside,311515,19767.871,0,7.959,112.22,0,0,0,0,19889,19889,19889,
2018,1387,Kraft Heinz Canada ULC,Ingleside Plant,Ingleside,311515,18826.399,0,7.581,106.95,0,0,0,0,18941,18941,18941,
2010,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,321048,0,1788,2640,0,0,0,,325477,325477,,
2011,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,329722.902,0,1806.252,2666.31,0,0,0,,334196,334196,334196,SAI Global
2012,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,330416.337,0,1809.066,2670.34,0,0,0,,334896,334896,334896,SAI Global
2013,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,331939.674,0,1818.39,2684.29,0,0,0,,336443,336443,336443,SAI Global
2014,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,317544.508,0,1739.535,2568.04,0,0,0,,321853,321853,321853,SAI Global
2015,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,295791.855,0,1620.36,2391.96,0,0,0,0,299805,299805,299805,SAI Global
2016,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,284747.302,0,1559.859,2302.68,0,0,0,0,288610,288610,288610,SAI Global
2017,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,19697.931,0,105.966,158.41,0,0,0,0,19963,19963,19963,GHD Limited
2018,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,9402.436,0,49.245,75.02,0,0,0,0,9527,9527,9527,GHD Limited
2017,1061,Greenfield Global Inc.,Johnstown,Johnstown,325190,86288.62,277.2,35.7,469.65,0,0,0,0,87072,86794,86794,GHD Limited
2018,1061,Greenfield Global Inc.,Johnstown,Johnstown,325190,83866.24,89.11,34.692,456.63,0,0,0,0,84447,84358,84358,GHD Limited
2010,1007,Capital Power Income L.P.,Kapuskasing Power Plant,Kapuskasing,221112,136570,0,748,1104,0,0,0,,138423,138423,,
2011,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,128327.3749,0,702.987,1046.6676,0,0,0,,130078,130078,130078,Stantec Consulting Ltd.
2011,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,22255.689,273673.801,1849.281,3742.94,0,0,0,,301522,27848.199,27849,Conestoga-Rovers & Associates Limited (CRA)
2012,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,130074.4817,0,712.5577,1060.9177,0,0,0,,131848,131848,131848,Stantec Consulting Ltd.
2012,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,26735.574,213378.694,1445.745,2969.18,0,0,0,,244530,31151,31151,Conestoga-Rovers & Associates Limited (CRA)
2013,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,123597,0,677.0713,999.4862,0,0,0,,125274,125274,125274,Conestoga-Rovers & Associates Limited (CRA)
2013,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,31943.615,194376.724,1320.123,2746.29,0,0,0,,230387,36010,36010,Conestoga-Rovers & Associates Limited (CRA)
2014,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,117636,0,644.427,951.39,0,0,0,,119232,119232,119232,Conestoga-Rovers & Associates Limited (CRA)
2014,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,32105.461,202877.054,1377.348,2859.75,0,0,0,,239220,36342,36342,Conestoga-Rovers & Associates Limited (CRA)
2015,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,126862.94,0,694.953,1025.79,0,0,0,0,128584,128584,128584,GHD Limited (formerly CRA)
2015,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,20632.54,233588.42,1579.095,3203.85,0,0,0,0,259004,25415,25415,GHD Limited (formerly CRA)
2016,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,126935.3,0,695.373,1026.441,0,0,0,0,128658,128658,128658,GHD Limited (formerly CRA)
2016,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,22188.124,232311.551,1571.157,3194.86,0,0,0,0,259266,26955,26955,GHD Limited (formerly CRA)
2017,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,118.4347,0,0.0483,0.651,0,0,0,0,120,120,120,GHD Limited
2017,1135,Tembec,Kapuskasing Operations,Kapuskasing,322122,30978.633,218128.031,1479.429,3055.05,0,0,0,0,253642,35514,35514,Enviro-access
2018,1135,Rayonier A.M. Canada G.P.,Kapuskasing Operations,Kapuskasing,322122,22331.694,242738.117,1641.318,3333.74,0,0,0,0,270045,27307,27307,Enviro-access
2018,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,86.68,0,0.483,0.713,0,0,0,0,88,88,88,GHD Limited
2010,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline System, Ontario",Kenora,486210,525343,0,11156,4335,0,0,0,,540834,540834,,
2011,1147,TransCanada PipeLines Ltd.,TransCanada Pipeline,Kenora,486210,561758.0711,0,11929.2537,4635.12,0,0,0,,578323,578323,578323,"ICF Consulting Canada, Inc."
2012,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,511562.2885,0,10863.3168,4220.96,0,0,0,,526647,526647,526647,"ICF Consulting Canada, Inc."
2013,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,731111.4685,0,15525.5688,6032.476,0,0,0,,752670,752670,752670,"ICF Consulting Canada, Inc."
2014,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,1194024.872,0,25355.799,9851.986,0,0,0,,1229233,1229233,1229233,Ernst & Young LLP
2015,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,1269451.909,0,26957.5341,10474.342,0,0,0,0,1306884,1306884,1306884,Ernst & Young LLP
2016,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,1060766.807,0,22525.9881,8752.447,0,0,0,0,1092046,1092046,1092046,Ernst & Young LLP
2017,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,501428.0139,0,243728.2743,4135.896,0,0,0,0,749293,749293,516034,Ernst & Young LLP
2018,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,733951.4092,0,164962.0455,6054.92,0,0,0,0,904969,904969,755473,Ernst & Young LLP
2012,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Kenora District,212220,27760,0,21.42,1041.6,0,0,0,,28824,28824,28824,Ernst & Young LLP
2015,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Kenora District,212220,14417,0,5.88,356.5,0,0,0,0,14780,14780,14780,Ernst & Young LLP
2016,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Kenora District,212220,14620,0,6.93,393.7,0,0,0,0,15021,15021,15021,Ernst & Young LLP
2017,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Kenora District,212220,14608,0,6.3,372,0,0,0,0,14987,14987,14987,Ernst & Young
2018,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Kenora District,212220,19265,0,10.08,551.8,0,0,0,0,19827,19827,19827,
2015,1199,Greenhill Produce (Thamesville) Ltd.,Greenhill Produce (2),Kent Bridge,111419,18874.5,0,9.66,241.8,0,0,0,0,19126,19126,19126,GHD Limited (formerly CRA)
2016,1199,Greenhill Produce (Thamesville) Ltd.,Greenhill Produce (2),Kent Bridge,111419,23092.05,0,9.66,142.6,0,0,0,0,23245,23245,23245,GHD Limited (formerly CRA)
2017,1199,Greenhill Produce (Thamesville) Ltd.,Greenhill Produce (2),Kent Bridge,111419,28554.17,0,11.76,167.4,0,0,0,0,28734,28734,28734,GHD
